"occ1990dd","occ1990dd_title","pseudo","rank_pseudo"
677,"Optical goods workers",0.601827786530158,135
505,"Automobile mechanics and repairers",0.561739837329909,136
199," Athletes, sports instructors, and officials",0.434066193725922,137
184,"Technical writers",0.43051034800525,138
543,"Elevator installers and repairers",0.40148079680561,139
204,"Dental hygienists",0.316521749363769,140
375," Insurance adjusters, examiners, and investigators",0.291172577699286,141
155,"Kindergarten and earlier school teachers",0.272790721637673,142
696," Plant and system operators, stationary engineers",0.254912339981263,143
189,"Photographers",0.206227362147124,144
577,"Electric power installers and repairers",0.156896476885532,145
757," Separating, filtering, and clarifying machine operators",-0.0138874665752522,146
527,"Telecom and line installers and repairers",-0.0323443719734176,147
198,"Announcers",-0.059842878204116,148
337,"Bookkeepers and accounting and auditing clerks",-0.119274951637745,149
274," Salespersons, n.e.c.",-0.215743335927026,150
637,"Machinists",-0.223531628625597,151
336,"Records clerks",-0.256058696994182,152
823,"Railroad conductors and yardmasters",-0.257928051473458,153
426," Guards and police, except public service",-0.265584781642954,154
318,"Transportation ticket and reservation agents",-0.266177394691922,155
643,"Boilermakers",-0.297161790521348,156
377," Eligibility clerks for government prog., social welfare",-0.52390081108654,157
526,"Repairers of household appliances and power tools",-0.52390506500283,158
614,"Drillers of oil wells",-0.535012588343972,159
275,"Retail salespersons and sales clerks",-0.568453914078458,160
445,"Dental Assistants",-0.597109927495999,161
378,"Bill and account collectors",-0.610176315594474,162
364,"Shipping and receiving clerks",-0.767269949260814,163
468,"Child care workers",-0.777140325925369,164
328," Human resources clerks, excl payroll and timekeeping",-0.789754322063385,165
507," Bus, truck, and stationary engine mechanics",-0.807642081983104,166
433,"Supervisors of food preparation and service",-0.845932774423064,167
234,"Legal assistants and paralegals",-0.853984213468191,168
427," Protective service, n.e.c.",-0.857199205060497,169
186,"Musicians and composers",-0.86133209878564,170
423," Sheriffs, bailiffs, correctional institution officers",-0.877230422770597,171
535," Precision makers, repairers, and smiths",-0.916594442160814,172
471,"Public transportation attendants and inspectors",-0.944095202387111,173
525,"Repairers of data processing equipment",-1.05655669033949,174
644,"Precision grinders and fitters",-1.09758958759227,175
447,"Health and nursing aides",-1.11981482494608,176
707," Rollers, roll hands, and finishers of metal",-1.14026510496638,177
313,"Secretaries and stenographers",-1.27150499212765,178
455,"Pest control occupations",-1.28262381822554,179
709," Grinding, abrading, buffing, and polishing workers",-1.29986452591337,180
657,"Cabinetmakers and bench carpeters",-1.36524334956739,181
389," Administrative support jobs, n.e.c.",-1.46943923078105,182
536,"Locksmiths and safe repairers",-1.49814908839053,183
653,"Other metal and plastic workers",-1.5812704041441,184
567,"Carpenters",-1.58230073690435,185
585," Plumbers, pipe fitters, and steamfitters",-1.71897494434924,186
668,"Upholsterers",-1.73201999444243,187
193,"Dancers",-1.76690678874091,188
383,"Bank tellers",-1.80084781580852,189
316," Interviewers, enumerators, and surveyors",-1.81033802927534,190
549," Mechanics and repairers, n.e.c.",-1.82820785659487,191
595,"Roofers and slaters",-1.88838345036387,192
466,"Recreation and fitness workers",-1.89718927444128,193
799," Production checkers, graders, and sorters in manufacturing",-1.94951940348822,194
824,"Locomotive operators: engineers and firemen",-1.99500970064217,195
509,"Small engine repairers",-2.02523793091266,196
679,"Bookbinders",-2.03201892030171,197
516,"Heavy equipement and farm equipment mechanics",-2.09159024415979,198
326,"Correspondence and order clerks",-2.1061211380576,199
859,"Stevedores and misc. material moving occupations",-2.12591085068042,200
756,"Mixing and blending machine operators",-2.16348498648153,201
338,"Payroll and timekeeping clerks",-2.16783714941804,202
599,"Misc. construction and related occupations",-2.17424085255246,203
736,"Typesetters and compositors",-2.17977654904642,204
724,"Heat treating equipment operators",-2.22409310175815,205
205,"Health record technologists and technicians",-2.24678125821106,206
434,"Bartenders",-2.28886842550577,207
344,"Billing clerks and related financial records processing",-2.30878334685329,208
708,"Drilling and boring machine operators",-2.42108504412715,209
387,"Teacher's aides",-2.47741173522199,210
335,"File clerks",-2.51770393265129,211
329,"Library assistants",-2.56827981862777,212
461,"Guides",-2.5931335731556,213
319,"Receptionists and other information clerks",-2.6969053916325,214
518,"Industrial machinery repairers",-2.73280408220121,215
368," Weighers, measurers, and checkers",-2.74554739226426,216
448,"Supervisors of cleaning and building service",-2.7552849659823,217
825," Railroad brake, coupler, and switch operators",-2.79113165662134,218
743,"Textile cutting and dyeing machine operators",-2.80028094752489,219
385,"Data entry keyers",-2.81384895600235,220
366,"Meter readers",-2.83542315171712,221
347," Office machine operators, n.e.c.",-2.83750753560796,222
472," Animal caretakers, except farm",-2.90000571847477,223
645,"Patternmakers and model makers",-2.97431565301177,224
317,"Hotel clerks",-3.00376931760737,225
593,"Insulation workers",-3.01081609005161,226
519,"Machinery maintenance occupations",-3.03912877896771,227
539,"Repairers of mechanical controls and valves",-3.04108609101067,228
785,"Assemblers of electrical equipment",-3.09112100028823,229
354," Postal clerks, exluding mail carriers",-3.28228051880808,230
469," Personal service occupations, n.e.c",-3.33984803308885,231
774,"Photographic process workers",-3.36606394873529,232
755,"Extruding and forming machine operators",-3.41302315400598,233
706,"Punching and stamping press operatives",-3.46804522474426,234
616,"Miners",-3.51041921310584,235
675," Hand molders and shapers, except jewelers",-3.51617961511221,236
848," Crane, derrick, winch, hoist, longshore operators",-3.54220913827471,237
436,"Cooks",-3.62079241835002,238
809,"Taxi cab drivers and chauffeurs",-3.67791224935981,239
865," Helpers, constructions",-3.75608322693815,240
754," Packers, fillers, and wrappers",-3.85409636617104,241
688,"Batch food makers",-3.91464550036382,242
738,"Winding and twisting textile and apparel operatives",-3.92462532821596,243
598,"Drillers of earth",-3.93558096686481,244
464," Baggage porters, bellhops and concierges",-3.98366388844745,245
563," Masons, tilers, and carpet installers",-4.06433264499963,246
584,"Plasterers",-4.0830547380095,247
753,"Cementing and gluing machine operators",-4.09515598951511,248
844,"Operating engineers of construction equipment",-4.12061122091242,249
869,"Construction laborers",-4.17212913722688,250
379,"General office clerks",-4.19728631551295,251
703," Lathe, milling, and turning machine operatives",-4.19843928896291,252
713,"Forge and hammer operators",-4.24926623929403,253
514,"Auto body repairers",-4.35989835345221,254
649,"Engravers",-4.39343017722984,255
765,"Paper folding machine operators",-4.47995262429893,256
594," Paving, surfacing, and tamping equipment operators",-4.49511904327087,257
451,"Gardeners and groundskeepers",-4.49891553952915,258
804," Truck, delivery, and tractor drivers",-4.52612415219524,259
687,"Bakers",-4.59253937549398,260
666," Dressmakers, seamstresses, and tailors",-4.64353397468752,261
729," Nail, tacking, shaping and joining mach ops (wood)",-4.64544123164295,262
597,"Structural metal workers",-4.65315138303768,263
766," Furnance, kiln, and oven operators, apart from food",-4.76186267092287,264
384,"Proofreaders",-4.80326921737817,265
769," Slicing, cutting, crushing and grinding machine",-4.93598708994017,266
276,"Cashiers",-4.95494748934859,267
589,"Glaziers",-4.9742392780409,268
458,"Hairdressers and cosmetologists",-5.04814193508177,269
