"occ1990dd","occ1990dd_title","pctile_complexind","descriptor_sum","descriptor_mean","descriptor_zero_count"
69,"Physicists and astronomists",1,166.495000362396,4.75700001035418,0
48,"Chemical engineers",0.999585688114166,159.439999580383,4.55542855943952,0
78,"Biological scientists",0.998529970645905,154.041667222977,4.40119049208505,0
66,"Actuaries",0.997948825359344,154.000000119209,4.40000000340598,0
83,"Medical scientists",0.997801661491394,152.594998836517,4.35985710961478,0
44,"Aerospace engineers",0.997557938098907,152.5,4.35714285714286,0
45,"Metallurgical and materials engineers",0.995955944061279,150.149999976158,4.2899999993188,0
53,"Civil engineers",0.995513916015625,148.384999752045,4.23957142148699,0
84,"Physicians",0.991811215877533,146.32894641161,4.1808270403317,0
57,"Mechanical engineers",0.983074426651001,147.996665239334,4.22847614969526,0
4," Chief executives, public administrators, and legislators",0.979307532310486,145.974998950958,4.17071425574166,0
59," Engineers and other professionals, n.e.c.",0.978696882724762,146.302000284195,4.180057150977,0
73,"Chemists",0.973430693149567,144.019999980927,4.11485714231219,0
75,"Geologists",0.971912741661072,142.75833272934,4.07880950655256,0
77,"Agricultural and food scientists",0.97116881608963,142.020001530647,4.05771432944707,0
173,"Urban and regional planners",0.970815479755402,141.559999585152,4.04457141671862,0
167,"Psychologists",0.970644891262054,139.692000746727,3.99120002133506,0
47," Petroleum, mining, and geological engineers",0.969779908657074,140.949999690056,4.02714284828731,0
43,"Architects",0.969301521778107,139.205001354218,3.97728575297764,0
166," Economists, market and survey researchers",0.967446386814117,140.055000066757,4.00157143047878,0
88,"Podiatrists",0.966097474098206,136.499999284744,3.89999997956412,0
76," Physical scientists, n.e.c.",0.965977549552917,139.69000005722,3.99114285877773,0
74,"Atmospheric and space scientists",0.965846419334412,138.040000200272,3.94400000572205,0
87,"Optometrists",0.965714275836945,135.73999941349,3.87828569752829,0
56,"Industrial engineers",0.965312004089355,137.533999800682,3.92954285144806,0
258,"Sales engineers",0.961903393268585,136.350000023842,3.89571428639548,0
7,"Financial managers",0.961085259914398,135.954999804497,3.88442856584276,0
65,"Operations and systems researchers and analysts",0.955541968345642,137.162498950958,3.91892854145595,0
169," Social scientists and sociologists, n.e.c.",0.95443469285965,136.386667966843,3.89676194190979,0
178,"Lawyers and judges",0.95427393913269,133.619999885559,3.81771428244455,0
96,"Pharmacists",0.94562429189682,134.4899995327,3.84257141521999,0
85,"Dentists",0.943484902381897,133.915000200272,3.8261428628649,0
55,"Electrical engineers",0.941479384899139,135.539999961853,3.87257142748152,0
95,"Registered nurses",0.9356369972229,133.722500085831,3.82064285959516,0
226,"Airplane pilots and navigators",0.934673249721527,132.939998686314,3.79828567675182,0
106,"Physicians' assistants",0.933385729789734,133.660000860691,3.81885716744832,0
15,"Managers of medicine and health occupations",0.93297290802002,135.219999909401,3.86342856884003,0
97,"Dieticians and nutritionists",0.931894779205322,131.340000629425,3.752571446555,0
386,"Statistical clerks",0.93177455663681,133.435001134872,3.8124286038535,0
36," Inspectors and compliance officers, outside",0.931180715560913,130.502856731415,3.72865304946899,0
64,"Computer systems analysts and computer scientists",0.928814291954041,132.24210524559,3.77834586415972,0
104,"Speech therapists",0.925784826278687,129.574999988079,3.70214285680226,0
86,"Veterinarians",0.925707697868347,130.870000839233,3.73914288112095,0
154," Subject instructors, college",0.925038039684296,130.378055870533,3.72508731058666,0
89,"Other health and therapy occupations",0.918158710002899,128.242499887943,3.66407142536981,0
229,"Computer software developers",0.917843818664551,130.296667098999,3.72276191711426,0
227,"Air traffic controllers",0.913858532905579,127.830000221729,3.65228572062084,0
68,"Mathematicians and statisticians",0.913231194019318,132.009999394417,3.77171426841191,0
8,"Human resources and labor relations managers",0.912861943244934,129.369999885559,3.69628571101597,0
26,"Management analysts",0.910030782222748,129.99000120163,3.71400003433228,0
22," Managers and administrators, n.e.c.",0.908473491668701,128.812591910362,3.68035976886749,0
103,"Physical therapists",0.825542986392975,126.750000476837,3.62142858505249,0
14,"Managers in education and related fields",0.825332760810852,126.943999707699,3.62697142021997,0
79,"Foresters and conservation scientists",0.820612907409668,127.402501046658,3.64007145847593,0
27," Personnel, HR, training, and labor rel. specialists",0.820043206214905,126.846666872501,3.62419048207147,0
503,"Supervisors of mechanics and repairers",0.815834939479828,125.289999723434,3.57971427781241,0
